PlotID	Region	Fertilization	Grazing	Mowing	Time_after_mowing	Plant_SpeciesRichness	Plant_biomass	Herbivore_SpeciesRichness	Predator_SpeciesRichness	Herbivore_biomass	Predator_biomass	Lifestock
AEG01	Schwäbische Alb	120.00	0.00	5.00	71.00	31.00	995.00	36.00	10.00	16405.55	341.21	no_grazing
AEG02	Schwäbische Alb	492.00	0.00	8.00	44.00	18.00	1165.00	35.00	4.00	9405.83	274.71	no_grazing
AEG03	Schwäbische Alb	192.00	0.00	7.00	35.00	26.00	640.00	36.00	3.00	9448.70	412.36	no_grazing
AEG04	Schwäbische Alb	120.00	54.00	3.00	70.00	18.00	980.00	31.00	4.00	28640.79	278.78	cattle
AEG05	Schwäbische Alb	150.00	90.00	3.00	70.00	20.00	705.00	49.00	18.00	63047.30	989.26	cattle_horse
AEG06	Schwäbische Alb	150.00	447.00	3.00	54.00	28.00	760.00	43.00	10.00	61941.85	450.95	cattle_horse
AEG07	Schwäbische Alb	0.00	23.00	0.00	114.00	49.00	80.00	43.00	10.00	10256.63	152.75	sheep
AEG08	Schwäbische Alb	0.00	86.00	2.00	42.00	42.00	635.00	30.00	3.00	4231.10	130.77	sheep
AEG09	Schwäbische Alb	0.00	27.00	0.00	115.00	52.00	395.00	44.00	2.00	10351.12	98.58	sheep
AEG10	Schwäbische Alb	0.00	0.00	3.00	63.00	34.00	625.00	41.00	7.00	25725.78	477.15	no_grazing
AEG11	Schwäbische Alb	105.00	0.00	7.00	28.00	35.00	870.00	12.00	0.00	4829.21	0.00	no_grazing
AEG12	Schwäbische Alb	120.00	0.00	5.00	71.00	30.00	870.00	43.00	7.00	16467.35	522.91	no_grazing
AEG13	Schwäbische Alb	120.00	0.00	5.00	71.00	26.00	830.00	33.00	3.00	13013.83	25.85	no_grazing
AEG15	Schwäbische Alb	384.00	0.00	8.00	36.00	27.00	1045.00	41.00	6.00	8595.91	227.60	no_grazing
AEG17	Schwäbische Alb	240.00	0.00	8.00	36.00	34.00	455.00	36.00	6.00	6341.70	784.07	no_grazing
AEG18	Schwäbische Alb	382.00	0.00	8.00	27.00	27.00	1100.00	14.00	2.00	764.26	83.89	no_grazing
AEG19	Schwäbische Alb	150.00	565.00	3.00	54.00	20.00	400.00	24.00	6.00	36254.60	768.25	cattle_horse
AEG20	Schwäbische Alb	150.00	237.00	0.00	115.00	26.00	475.00	35.00	6.00	7006.89	1125.48	cattle
AEG21	Schwäbische Alb	144.00	796.00	0.00	115.00	23.00	710.00	15.00	3.00	5541.99	19.83	cattle
AEG22	Schwäbische Alb	0.00	4.00	3.00	64.00	42.00	465.00	21.00	4.00	3411.93	126.34	no_grazing
AEG24	Schwäbische Alb	18.00	100.00	6.00	34.00	22.00	850.00	37.00	5.00	11971.52	407.02	sheep
AEG25	Schwäbische Alb	0.00	41.00	0.00	114.00	57.00	170.00	44.00	4.00	10566.29	78.56	sheep/goat
AEG26	Schwäbische Alb	0.00	177.00	0.00	114.00	49.00	170.00	30.00	6.00	3526.65	205.98	sheep
AEG27	Schwäbische Alb	0.00	154.00	0.00	115.00	47.00	205.00	33.00	2.00	21424.47	54.44	sheep
AEG28	Schwäbische Alb	0.00	41.00	0.00	115.00	51.00	305.00	35.00	4.00	8535.84	60.51	sheep
AEG30	Schwäbische Alb	0.00	93.00	0.00	115.00	40.00	710.00	29.00	3.00	8860.62	257.67	sheep
AEG31	Schwäbische Alb	0.00	45.00	0.00	115.00	38.00	575.00	27.00	2.00	12289.68	42.91	sheep
AEG32	Schwäbische Alb	0.00	28.00	0.00	115.00	30.00	670.00	38.00	10.00	19053.24	1786.69	sheep
AEG33	Schwäbische Alb	0.00	181.00	0.00	115.00	47.00	180.00	53.00	3.00	24052.38	223.88	sheep
AEG34	Schwäbische Alb	0.00	69.00	0.00	115.00	34.00	200.00	33.00	8.00	8379.59	242.00	sheep
AEG36	Schwäbische Alb	105.00	0.00	5.00	71.00	27.00	660.00	20.00	2.00	3190.23	208.73	no_grazing
AEG37	Schwäbische Alb	120.00	0.00	5.00	70.00	26.00	630.00	29.00	4.00	8343.15	110.13	no_grazing
AEG38	Schwäbische Alb	32.00	0.00	5.00	42.00	33.00	440.00	43.00	3.00	14079.15	131.81	no_grazing
AEG39	Schwäbische Alb	120.00	0.00	5.00	70.00	20.00	900.00	25.00	3.00	10439.30	168.87	no_grazing
AEG40	Schwäbische Alb	16.00	0.00	6.00	23.00	31.00	825.00	49.00	10.00	7678.68	473.67	no_grazing
AEG41	Schwäbische Alb	292.00	0.00	6.00	70.00	29.00	795.00	10.00	2.00	1847.15	64.41	no_grazing
AEG42	Schwäbische Alb	192.00	266.00	3.00	84.00	24.00	645.00	40.00	10.00	41083.41	1053.95	cattle
AEG43	Schwäbische Alb	170.00	157.00	3.00	56.00	30.00	680.00	47.00	6.00	25323.86	674.15	sheep
AEG44	Schwäbische Alb	0.00	349.00	0.00	114.00	30.00	450.00	20.00	3.00	4908.75	21.69	cattle
AEG46	Schwäbische Alb	0.00	233.00	0.00	114.00	28.00	1035.00	33.00	13.00	37551.69	998.12	cattle
AEG47	Schwäbische Alb	0.00	80.00	0.00	114.00	48.00	95.00	34.00	4.00	8023.17	261.03	sheep
AEG48	Schwäbische Alb	0.00	43.00	0.00	115.00	44.00	30.00	18.00	4.00	4682.44	530.56	sheep
AEG49	Schwäbische Alb	0.00	78.00	0.00	115.00	41.00	300.00	43.00	6.00	18832.89	86.01	sheep
HEG01	Hainich-Dün	1564.00	11.00	7.00	44.00	9.00	670.00	19.00	1.00	5853.12	917.56	sheep
HEG02	Hainich-Dün	300.00	9.00	7.00	69.00	13.00	585.00	24.00	7.00	3548.08	264.67	no_grazing
HEG03	Hainich-Dün	300.00	9.00	7.00	69.00	15.00	645.00	18.00	2.00	6512.24	31.51	no_grazing
HEG04	Hainich-Dün	81.00	105.00	2.00	138.00	19.00	935.00	18.00	5.00	1974.02	497.66	cow
HEG05	Hainich-Dün	220.00	53.00	6.00	43.00	14.00	620.00	18.00	8.00	2499.93	523.06	cow
HEG06	Hainich-Dün	224.00	14.00	3.00	54.00	20.00	1270.00	25.00	5.00	4214.11	453.73	cattle
HEG07	Hainich-Dün	9.00	297.00	0.00	139.00	28.00	645.00	25.00	8.00	16278.39	224.49	cow
HEG08	Hainich-Dün	9.00	297.00	0.00	139.00	22.00	680.00	23.00	11.00	17163.96	321.19	cow
HEG09	Hainich-Dün	0.00	52.00	0.00	139.00	39.00	400.00	55.00	7.00	14398.11	320.54	cattle
HEG11	Hainich-Dün	9.00	0.00	3.00	82.00	27.00	445.00	22.00	6.00	2223.79	214.92	no_grazing
HEG14	Hainich-Dün	204.00	93.00	3.00	82.00	20.00	790.00	20.00	9.00	1878.50	335.99	sheep
HEG16	Hainich-Dün	0.00	62.00	0.00	138.00	22.00	340.00	53.00	12.00	38753.51	991.00	sheep
HEG17	Hainich-Dün	0.00	33.00	0.00	138.00	38.00	390.00	25.00	6.00	2732.69	87.73	sheep
HEG18	Hainich-Dün	0.00	45.00	0.00	139.00	45.00	430.00	34.00	4.00	5263.21	69.34	sheep
HEG19	Hainich-Dün	0.00	33.00	0.00	138.00	26.00	600.00	35.00	4.00	5595.66	764.31	sheep
HEG21	Hainich-Dün	0.00	39.00	0.00	139.00	31.00	380.00	50.00	7.00	14701.46	217.62	sheep
HEG23	Hainich-Dün	0.00	69.00	3.00	42.00	29.00	670.00	38.00	4.00	2701.63	343.74	cow
HEG26	Hainich-Dün	9.00	0.00	3.00	83.00	19.00	330.00	20.00	5.00	4545.01	48.15	no_grazing
HEG27	Hainich-Dün	180.00	0.00	3.00	55.00	32.00	990.00	31.00	4.00	7954.73	89.14	no_grazing
HEG29	Hainich-Dün	84.00	63.00	3.00	139.00	25.00	455.00	37.00	6.00	8089.15	199.75	cow
HEG30	Hainich-Dün	200.00	12.00	6.00	64.00	27.00	585.00	26.00	5.00	1900.06	512.89	no_grazing
HEG33	Hainich-Dün	81.00	107.00	1.00	138.00	15.00	880.00	25.00	4.00	4527.34	30.41	cow
HEG34	Hainich-Dün	224.00	14.00	3.00	55.00	16.00	705.00	30.00	3.00	4446.37	552.20	cattle
HEG35	Hainich-Dün	224.00	117.00	3.00	54.00	21.00	835.00	29.00	5.00	17081.82	152.56	cattle
HEG36	Hainich-Dün	180.00	56.00	3.00	54.00	26.00	815.00	16.00	3.00	4026.77	79.41	sheep
HEG37	Hainich-Dün	180.00	58.00	3.00	82.00	13.00	425.00	22.00	2.00	6632.28	35.86	sheep
HEG38	Hainich-Dün	0.00	198.00	0.00	138.00	19.00	555.00	35.00	5.00	8282.00	151.10	cow
HEG39	Hainich-Dün	0.00	202.00	0.00	138.00	24.00	945.00	42.00	6.00	10195.54	668.10	cow
HEG40	Hainich-Dün	0.00	131.00	0.00	138.00	23.00	855.00	25.00	3.00	6951.54	186.40	cow
HEG41	Hainich-Dün	0.00	30.00	0.00	139.00	44.00	470.00	49.00	8.00	30168.73	1273.02	sheep
HEG42	Hainich-Dün	0.00	33.00	0.00	138.00	42.00	325.00	53.00	7.00	17317.37	2943.28	sheep
HEG43	Hainich-Dün	0.00	46.00	0.00	139.00	43.00	315.00	49.00	7.00	28223.50	602.85	sheep
HEG44	Hainich-Dün	0.00	58.00	0.00	138.00	35.00	410.00	49.00	8.00	14824.39	692.99	sheep
HEG45	Hainich-Dün	0.00	6.00	0.00	138.00	37.00	310.00	35.00	2.00	10817.29	1025.42	sheep
HEG46	Hainich-Dün	0.00	37.00	0.00	139.00	38.00	390.00	55.00	13.00	20790.91	1283.12	sheep
HEG47	Hainich-Dün	0.00	56.00	3.00	83.00	21.00	495.00	22.00	8.00	4122.46	177.73	cow
HEG49	Hainich-Dün	24.00	69.00	2.00	41.00	26.00	590.00	24.00	2.00	5661.18	8.99	cow
HEG50	Hainich-Dün	48.00	43.00	3.00	82.00	22.00	345.00	18.00	2.00	2630.65	29.03	no_grazing
SEG01	Schorfheide-Chorin	338.00	0.00	7.00	28.00	16.00	905.00	24.00	3.00	8206.89	307.72	no_grazing
SEG02	Schorfheide-Chorin	298.00	0.00	5.00	85.00	21.00	810.00	28.00	8.00	14634.82	607.77	cow
SEG03	Schorfheide-Chorin	292.00	14.00	5.00	43.00	18.00	905.00	39.00	14.00	9495.65	1340.83	cow
SEG04	Schorfheide-Chorin	0.00	0.00	3.00	76.00	13.00	1300.00	24.00	9.00	2842.83	476.27	no_grazing
SEG05	Schorfheide-Chorin	0.00	0.00	3.00	77.00	13.00	845.00	22.00	4.00	6090.70	219.41	no_grazing
SEG06	Schorfheide-Chorin	0.00	21.00	4.00	45.00	18.00	585.00	31.00	6.00	6666.33	750.43	cow
SEG07	Schorfheide-Chorin	0.00	182.00	0.00	128.00	15.00	955.00	31.00	5.00	10995.21	75.65	cow
SEG08	Schorfheide-Chorin	0.00	0.00	1.00	85.00	18.00	890.00	26.00	5.00	10090.51	300.51	no_grazing
SEG09	Schorfheide-Chorin	0.00	141.00	0.00	129.00	14.00	530.00	17.00	8.00	2575.89	125.68	cow
SEG10	Schorfheide-Chorin	292.00	14.00	5.00	44.00	14.00	710.00	25.00	7.00	9539.61	345.39	cow
SEG11	Schorfheide-Chorin	292.00	14.00	5.00	44.00	18.00	830.00	31.00	2.00	12942.82	41.76	cow
SEG12	Schorfheide-Chorin	338.00	0.00	7.00	28.00	15.00	1155.00	23.00	3.00	7926.24	78.13	no_grazing
SEG13	Schorfheide-Chorin	197.00	0.00	5.00	79.00	18.00	650.00	19.00	3.00	3136.23	154.07	cow
SEG14	Schorfheide-Chorin	0.00	61.00	1.00	66.00	13.00	610.00	20.00	5.00	3454.38	197.77	no_grazing
SEG15	Schorfheide-Chorin	0.00	0.00	3.00	78.00	19.00	1240.00	24.00	5.00	5556.44	616.00	no_grazing
SEG16	Schorfheide-Chorin	0.00	0.00	3.00	74.00	11.00	1395.00	35.00	6.00	4758.99	294.72	no_grazing
SEG17	Schorfheide-Chorin	0.00	21.00	4.00	45.00	22.00	540.00	26.00	3.00	6522.00	452.09	cow
SEG18	Schorfheide-Chorin	0.00	0.00	4.00	47.00	10.00	1000.00	21.00	2.00	2777.30	75.53	no_grazing
SEG19	Schorfheide-Chorin	0.00	0.00	0.00	129.00	21.00	510.00	23.00	5.00	8223.19	888.86	no_grazing
SEG20	Schorfheide-Chorin	0.00	147.00	0.00	129.00	15.00	410.00	18.00	6.00	4736.84	277.82	cow
SEG21	Schorfheide-Chorin	0.00	264.00	0.00	129.00	14.00	490.00	19.00	5.00	4283.51	47.11	cow
SEG23	Schorfheide-Chorin	0.00	0.00	5.00	44.00	9.00	565.00	22.00	5.00	9581.88	212.25	no_grazing
SEG24	Schorfheide-Chorin	0.00	0.00	4.00	79.00	20.00	515.00	24.00	7.00	17335.16	572.58	no_grazing
SEG25	Schorfheide-Chorin	0.00	0.00	5.00	80.00	20.00	485.00	32.00	2.00	26171.16	174.01	no_grazing
SEG26	Schorfheide-Chorin	0.00	0.00	5.00	44.00	15.00	710.00	17.00	8.00	9922.57	1039.15	no_grazing
SEG27	Schorfheide-Chorin	0.00	0.00	3.00	72.00	11.00	650.00	18.00	4.00	3145.62	228.65	no_grazing
SEG28	Schorfheide-Chorin	0.00	0.00	4.00	79.00	14.00	905.00	38.00	10.00	11707.74	808.23	no_grazing
SEG29	Schorfheide-Chorin	0.00	0.00	1.00	128.00	13.00	1230.00	25.00	5.00	6813.88	304.74	no_grazing
SEG30	Schorfheide-Chorin	0.00	0.00	4.00	46.00	17.00	1060.00	18.00	3.00	6462.90	186.36	no_grazing
SEG31	Schorfheide-Chorin	0.00	0.00	4.00	46.00	15.00	655.00	28.00	1.00	11453.81	61.62	no_grazing
SEG32	Schorfheide-Chorin	0.00	0.00	4.00	46.00	16.00	770.00	20.00	2.00	6606.76	115.01	no_grazing
SEG33	Schorfheide-Chorin	132.00	149.00	2.00	130.00	10.00	930.00	18.00	2.00	6348.68	73.85	cow
SEG35	Schorfheide-Chorin	254.00	80.00	3.00	47.00	9.00	980.00	21.00	3.00	7849.28	47.39	cow
SEG36	Schorfheide-Chorin	0.00	241.00	0.00	130.00	17.00	750.00	21.00	5.00	7096.33	440.39	cow
SEG37	Schorfheide-Chorin	0.00	145.00	0.00	129.00	23.00	215.00	42.00	10.00	7794.70	1100.85	cow
SEG40	Schorfheide-Chorin	0.00	379.00	0.00	129.00	23.00	265.00	34.00	9.00	12026.31	144.45	cow
SEG41	Schorfheide-Chorin	0.00	644.00	0.00	129.00	11.00	640.00	24.00	5.00	5902.50	417.84	cow
SEG42	Schorfheide-Chorin	48.00	580.00	0.00	130.00	18.00	460.00	43.00	4.00	13650.23	142.76	cow
SEG43	Schorfheide-Chorin	0.00	217.00	0.00	130.00	16.00	680.00	38.00	5.00	9231.71	357.66	cow
SEG44	Schorfheide-Chorin	0.00	211.00	0.00	130.00	21.00	735.00	46.00	7.00	15393.88	168.48	cow
SEG47	Schorfheide-Chorin	0.00	120.00	0.00	130.00	16.00	1085.00	26.00	3.00	21262.61	93.88	cow
SEG48	Schorfheide-Chorin	0.00	141.00	0.00	129.00	18.00	290.00	36.00	5.00	6407.15	59.56	cow
SEG49	Schorfheide-Chorin	0.00	338.00	0.00	130.00	18.00	495.00	32.00	1.00	12152.95	43.15	cow
